country,cabinet,adjusted_tax_average,tax_created,greens_gov,weighted_galtan,weighted_leftright,weighted_eu,year_start,year_finish,decade,anti_tax_protests_5000,neutral_tax,green_revenue,perc_votes_green,after_paris_agree,gdp_per_capita_ppp,caretaker_gov,tax_euros,tax_30,tax_60,2020_climate_goal,2030_climate_goal,percent_change,brent_price,gov_debt_gdp,western_eu,libdem,share_ff_energy,bond_yield,environmental_pressure,environmental_disasters,subregion_europe
Latvia,Kalvitis II,0.01,0,0,6.43,7.29,5.88,2006,2006,2000s,0,0,0,0,0,18.3,0,0.0089,0,0,NULL,NULL,NULL,84,10,0,0.7,82,4,1,1,Northern Europe
Latvia,Kalvitis III,0.01,0,0,6.5,7.22,5.68,2007,2007,2000s,0,0,0,0,0,20.84,0,0.0089,0,0,NULL,NULL,0,90,8.4,0,0.67,83,5,1,0,Northern Europe
Latvia,Gofmanis,0.01,0,0,6.4,7.22,5.66,2008,2008,2000s,1,0,0,0,0,20.71,0,0.0089,0,0,12,NULL,0,117,18.5,0,0.67,80,6,1,0,Northern Europe
Latvia,Dombrovskis I,0.02,0,0,5.85,7.06,5.7,2009,2009,2000s,0,0,0,0,0,18.1,0,0.0178,0,0,11,NULL,100,74,37,0,0.68,77,12,1,0,Northern Europe
Latvia,Dombrovskis III,0.05,0,0,5.55,5.67,5.38,2011,2011,2010s,0,0,0,0,0,19.11,0,0.0445,0,0,9,NULL,150,128,45.1,0,0.71,79,6,1,0,Northern Europe
Latvia,Straujuma I,0.1,0,0,5.69,5.79,5.33,2014,2014,2010s,0,0,0,0,0,23.72,0,0.089,0,0,6,16,100,108,41.6,0,0.75,80,3,1,0,Northern Europe
Latvia,Straujuma II,0.1,0,0,6.26,6.11,5.87,2015,2015,2010s,0,0,0,0,1,24.87,0,0.089,0,0,5,15,0,57,37,0,0.75,80,1,1,0,Northern Europe
Latvia,Kucinskis,0.14,0,0,6.26,6.11,5.87,2016,2018,2010s,0,0,0,0,1,28.61,0,0.1246,0,0,4,14,40,59,38.73,0,0.74,75,1,1,1,Northern Europe
Latvia,Karins I,0.28,0,0,5.61,5.94,5.69,2019,2021,2010s,NA,0,0,0,1,33.23,0,0.2492,0,0,1,11,100,60,40.97,0,0.71,76,0,1,0,Northern Europe
Latvia,Dombrovskis IV,0.09,0,0,5.61,6.19,5.65,2012,2013,2010s,0,0,0,0,0,21.18,0,0.0801,0,0,8,NULL,-67.85714286,123.5,41.35,0,0.73,76,4,1,1,Northern Europe
Latvia,Karis II,0.44,0,0,5.59,6.25,5.9,2022,2022,2020s,NA,0,0,0,1,39.17,0,0.3916,0,0,NULL,8,388.8888889,94,41,0,0.73,73,2,1,1,Northern Europe
Hungary,Orban I,0,0,0,6.46,3.46,3.57,1999,2001,1990s,0,NULL,NULL,0,0,14.2,0,0,0,0,NULL,NULL,NULL,35.66666667,56.13,0,0.76,86,9,1,1,Central and Eastern Europe
Hungary,Medgyessy,0,0,0,3.19,5.4,6.86,2002,2004,2000s,0,NULL,NULL,0,0,17.3,0,0,0,0,NULL,NULL,NULL,43,57.5,0,0.77,88,7,1,1,Central and Eastern Europe
Hungary,Gyurcsany I,0,0,0,3.82,6.74,6.85,2005,2006,2000s,0,NULL,NULL,0,0,20.76,0,0,0,0,NULL,NULL,NULL,78,62.45,0,0.75,86,7,1,1,Central and Eastern Europe
Hungary,Gyurcsany II,0,0,0,3.83,6.72,6.85,2007,2007,2000s,0,NULL,NULL,0,0,22.17,0,0,0,0,NULL,NULL,NULL,90,65.6,0,0.77,85,7,1,1,Central and Eastern Europe
Hungary,Gyurcsany III,0,0,0,3.83,6.72,6.85,2008,2008,2000s,0,NULL,NULL,0,0,22.86,0,0,0,0,12,NULL,NULL,117,71.8,0,0.77,83,8,1,1,Central and Eastern Europe
Hungary,Bajnai,0,0,0,3.66,4.41,6.64,2009,2009,2000s,0,NULL,NULL,0,0,21.52,0,0,0,0,11,NULL,NULL,74,78,0,0.77,81,9,1,0,Central and Eastern Europe
Hungary,Orban II,0,0,0,7.24,3.41,5.35,2010,2014,2010s,1,NULL,NULL,7.48,0,23.69,0,0,0,0,10,NULL,NULL,115.4,78.44,0,0.61,80,7,1,1,Central and Eastern Europe
Hungary,Orban III,0,0,0,8.64,3.69,2.71,2015,2017,2010s,0,NULL,NULL,5.34,1,28.16,0,0,0,0,5,15,NULL,53.66666667,74.27,0,0.48,79,3,1,1,Central and Eastern Europe
Hungary,Orban IV,0,0,0,9.2,3.73,3.07,2018,2021,2010s,0,NULL,NULL,7.06,1,34.37,0,0,0,0,2,12,NULL,63.25,72.6,0,0.36,79,2,1,1,Central and Eastern Europe
Slovakia,Dzurinda II,0,0,0,4.8,6.86,6.59,2003,2005,2000s,0,NULL,NULL,0,0,16.4,0,0,0,0,NULL,NULL,NULL,55,39.87,0,0.76,73,5,1,1,Central and Eastern Europe
Slovakia,Dzurinda IV,0,0,0,5.1,7.34,6.19,2006,2006,2000s,0,NULL,NULL,0,0,20,0,0,0,0,NULL,NULL,NULL,84,31.4,0,0.73,71,4,1,1,Central and Eastern Europe
Slovakia,Fico I,0,0,0,5.72,3.53,4.5,2007,2010,2000s,0,NULL,NULL,0,0,23.9,0,0,0,0,NULL,NULL,NULL,93.75,33.97,0,0.74,72,4,1,1,Central and Eastern Europe
Slovakia,Radicova,0,0,0,4.77,7.32,5.01,2011,2011,2010s,0,NULL,NULL,0,0,26.29,0,0,0,0,9,NULL,NULL,128,43.2,0,0.76,72,4,1,0,Central and Eastern Europe
Slovakia,Fico II,0,0,0,6.93,2.57,6.14,2012,2015,2010s,0,NULL,NULL,0,1,28.54,0,0,0,0,8,NULL,NULL,103,52.9,0,0.74,68,3,1,1,Central and Eastern Europe
Slovakia,Fico III,0,0,0,7.44,3.53,5.25,2016,2016,2010s,0,NULL,NULL,0,1,29.76,0,0,0,0,4,14,NULL,47,52.3,0,0.74,68,1,1,0,Central and Eastern Europe
Slovakia,Fico IV,0,0,0,7.5,4.11,5.07,2017,2017,2010s,0,NULL,NULL,0,1,29.83,0,0,0,0,3,13,NULL,57,51.5,0,0.73,70,1,1,0,Central and Eastern Europe
Slovakia,Pellegrini,0,0,0,7.53,4.08,5.05,2018,2019,2010s,0,NULL,NULL,0,1,33.35,0,0,0,0,2,12,NULL,69,48.7,0,0.73,70,0,1,0,Central and Eastern Europe
Slovakia,Matovic,0,0,0,6.36,6.17,4.6,2020,2020,2020s,0,NULL,NULL,0,1,33.33,0,0,0,0,0,10,NULL,71,58.9,0,0.78,67,0,1,1,Central and Eastern Europe
Slovakia,Hegel,0,0,0,6.54,6.11,4.35,2021,2022,2020s,NA,NULL,NULL,0,1,39.8,0,0,0,0,NULL,9,NULL,82,59.54,0,0.78,69,1,1,1,Central and Eastern Europe
Slovenia,Drnovsek V,11.19,0,0,4.91,5.45,5.74,1997,2000,1990s,0,0,0,1.76,0,16.56,0,9.9591,0,0,NULL,NULL,-19.38040346,30.5,23.6,0,0.77,69,,0,0,Central and Eastern Europe
Slovenia,Drnovsek VI,11.02,0,0,3.95,5.35,5.95,2001,2002,2000s,0,0,0,4.36,0,19.45,0,9.8078,0,0,NULL,NULL,-1.519213584,36,26.75,0,0.75,68,9,0,0,Central and Eastern Europe
Slovenia,Rop I,10.12,0,0,4,5.44,6,2003,2003,2000s,0,0,0,4.36,0,20.9,0,9.0068,0,0,NULL,NULL,-8.166969147,41,26.8,0,0.76,71,6,0,1,Central and Eastern Europe
Slovenia,Rop II,9.54,0,0,3.41,5.52,6.22,2004,2004,2000s,0,0,0,4.36,0,22.39,0,8.4906,0,0,NULL,NULL,-5.731225296,52,26.9,0,0.74,68,5,0,0,Central and Eastern Europe
Slovenia,Jansa I,8.55,0,0,7.51,5.96,6.09,2005,2008,2000s,1,0,0,2.08,0,27.14,0,7.6095,0,0,NULL,NULL,-10.37735849,90.75,24.27,0,0.74,70,4,0,1,Central and Eastern Europe
Slovenia,Pahor I,7.82,0,0,2.65,4.05,6.28,2009,2011,2000s,0,0,0,0,0,28.27,0,6.9598,0,0,11,NULL,-8.538011696,98.66666667,39.77,0,0.8,67,4,0,0,Central and Eastern Europe
Slovenia,Cerar,8.05,0,0,4.29,5.08,6.32,2015,2018,2010s,0,0,0,0,1,35.37,0,7.1645,0,0,5,15,2.941176471,58.5,76.4,0,0.79,64,1,1,0,Central and Eastern Europe
Slovenia,Sarec,4.59,0,0,3.69,3.9,6.35,2019,2019,2010s,0,0,0,1.09,1,41.05,0,4.0851,0,0,1,11,-42.98136646,65,65.4,0,0.74,63,0,1,0,Central and Eastern Europe
Slovenia,Jansa IV,4.44,0,0,8.01,6.87,5.38,2020,2020,2020s,0,0,0,0,1,39.54,0,3.9516,0,0,0,10,-3.267973856,44,79.6,0,0.65,59,0,1,0,Central and Eastern Europe
Slovenia,Jansa V,4.5,0,0,7.7,7.02,5.55,2021,2021,2020s,NA,0,0,0,1,44.43,0,4.005,0,0,NULL,9,1.351351351,71,74.4,0,0.6,61,0,1,1,Central and Eastern Europe
Poland,Buzek I,0.01,0,0,6.32,5.1,5.75,1998,2000,1990s,1,0,1,0,0,11.02,0,0.0089,0,0,NULL,NULL,-99.77777778,30.33333333,37.9,0,0.8,99,18,1,1,Central and Eastern Europe
Poland,Buzek II,0.01,0,0,7.5,4.38,5.38,2001,2001,2000s,0,0,1,0,0,12.2,0,0.0089,0,0,NULL,NULL,0,36,37.3,0,0.81,99,11,1,1,Central and Eastern Europe
Poland,Miller I,0.01,0,0,3.65,3.63,5.78,2002,2002,2000s,1,0,1,0,0,12.57,0,0.0089,0,0,NULL,NULL,0,36,41.7,0,0.81,99,7,1,1,Central and Eastern Europe
Poland,Miller II,0.01,0,0,1.84,4.1,6.84,2003,2004,2000s,1,0,1,0,0,13.8,0,0.0089,0,0,NULL,NULL,0,46.5,45.85,0,0.81,99,6,1,1,Central and Eastern Europe
Poland,Belka,0,0,0,1.55,4.67,6.02,2005,2005,2000s,0,0,1,0,0,15.3,0,0,0,0,NULL,NULL,-100,72,46.6,0,0.81,99,5,1,1,Central and Eastern Europe
Poland,Marcinkiewicz I,0,0,0,8.83,1.86,3.1,2006,2006,2000s,0,0,1,0,0,16.74,0,0,0,0,NULL,NULL,0,84,47.3,0,0.8,99,5,1,1,Central and Eastern Europe
Poland,Kaczynski I,0,0,0,9.19,1.71,2.96,2007,2007,2000s,0,0,1,0,0,18.43,0,0,0,0,NULL,NULL,0,90,44.5,0,0.8,98,5,1,0,Central and Eastern Europe
Poland,Tusk I,0,0,0,5.24,6.33,6.41,2008,2011,2000s,0,0,1,0,0,20.91,0,0,0,0,12,NULL,0,103.25,51.4,0,0.83,97,6,1,1,Central and Eastern Europe
Poland,Tusk II,0,0,0,4.87,5.96,6.4,2012,2014,2010s,0,0,1,0,0,24.4,0,0,0,0,8,NULL,0,118.3333333,55.95,0,0.82,95,4,1,1,Central and Eastern Europe
Poland,Kopacz,0,0,0,4.91,5.91,6.38,2015,2015,2010s,0,0,1,0,1,26.82,0,0,0,0,5,15,0,57,51.3,0,0.79,93,3,1,1,Central and Eastern Europe
Poland,Szydlo,0,0,0,8.48,3.07,3.79,2016,2017,2010s,0,0,1,0,1,29.11,0,0,0,0,4,14,0,52,52.65,0,0.58,94,3,0,1,Central and Eastern Europe
Poland,Morawiecki I,0,0,0,9.14,2.95,2.95,2018,2019,2010s,0,0,1,0,1,33.63,0,0,0,0,2,12,0,69,47.2,0,0.53,93,2,0,1,Central and Eastern Europe
Poland,Morawiecki II,0,0,0,9.14,2.95,2.95,2020,2021,2020s,NA,0,1,0,1,36.51,0,0,0,0,0,10,0,57.5,55.4,0,0.44,91,1,1,1,Central and Eastern Europe
Romania,Nastase II,0,0,0,6.3,3.29,6.26,2004,2004,2000s,0,NULL,NULL,0,0,12.09,0,0,0,0,NULL,NULL,NULL,52,18.9,0,0.43,86,7,1,1,Central and Eastern Europe
Romania,Popescu-Tariceanu I,0,0,0,4.71,6.47,6.62,2005,2006,2000s,0,NULL,NULL,0,0,13.93,0,0,0,0,NULL,NULL,NULL,77.5,14.15,0,0.46,85,7,1,1,Central and Eastern Europe
Romania,Popescu-Tariceanu III,0,0,0,5.65,4.55,6.39,2007,2008,2000s,0,NULL,NULL,0,0,17.45,0,0,0,0,NULL,NULL,NULL,103.5,12.1,0,0.49,83,7,1,1,Central and Eastern Europe
Romania,Boc I,0,0,0,5.26,5.07,6.25,2009,2009,2000s,0,NULL,NULL,0,0,17.86,0,0,0,0,11,NULL,NULL,74,21.8,0,0.53,81,10,1,1,Central and Eastern Europe
Romania,Boc III,0,0,0,5.72,6.82,6.54,2010,2011,2010s,0,NULL,NULL,0,0,18.12,0,0,0,0,10,NULL,NULL,111,30.65,0,0.55,79,7,1,1,Central and Eastern Europe
Romania,Ponta I,0,0,0,6.72,4.63,6.03,2012,2012,2010s,1,NULL,NULL,0,0,19.77,0,0,0,0,8,NULL,NULL,126,35.4,0,0.54,81,7,1,1,Central and Eastern Europe
Romania,Ponta II,0,0,0,6.66,4.78,6.05,2013,2013,2010s,0,NULL,NULL,0,0,19.4,0,0,0,0,7,NULL,NULL,121,37.8,0,0.6,76,5,1,1,Central and Eastern Europe
Romania,Ponta III,0,0,0,7.29,3.92,5.8,2014,2014,2010s,0,NULL,NULL,0,0,20.59,0,0,0,0,6,16,NULL,108,39.2,0,0.57,74,4,1,1,Central and Eastern Europe
Romania,Ponta V,0,0,0,7.21,3.95,5.81,2015,2015,2010s,0,NULL,NULL,0,1,21.57,0,0,0,0,5,15,NULL,57,37.8,0,0.6,73,3,1,1,Central and Eastern Europe
Romania,Grindeanu,0,0,0,8.02,3.69,4.11,2017,2017,2010s,0,NULL,NULL,0,1,27.02,0,0,0,0,3,13,NULL,57,35.3,0,0.53,75,4,1,0,Central and Eastern Europe
Romania,Dancila I,0,0,0,8.06,3.64,4.09,2018,2019,2010s,0,NULL,NULL,0,1,30.44,0,0,0,0,2,12,NULL,69,34.8,0,0.52,74,5,1,1,Central and Eastern Europe
Romania,Orban II (R),0,0,0,6,7.25,6.27,2020,2020,2020s,0,NULL,NULL,0,1,30.75,0,0,0,0,0,10,NULL,44,46.8,0,0.67,73,4,1,1,Central and Eastern Europe
Romania,Citu I,0,0,0,4.91,6.81,6.4,2021,2021,2020s,NA,NULL,NULL,1.12,1,34.25,0,0,0,0,NULL,9,NULL,71,48.5,0,0.61,74,4,1,1,Central and Eastern Europe
Romania,Ciuca,0,0,0,7.14,5.14,5.1,2022,2022,2020s,NA,NULL,NULL,1.12,1,38.7,0,0,0,0,NULL,8,NULL,94,47.2,0,0.55,74,7,1,1,Central and Eastern Europe
Czechia,Zeman,0,0,0,4.32,5.13,5.22,1999,2002,1990s,0,NULL,NULL,1.12,0,17.28,0,0,0,0,NULL,NULL,NULL,35.75,18.3,0,0.81,89,5,1,1,Central and Eastern Europe
Czechia,Spidia,0,0,0,5.08,4.47,6.48,2003,2004,2000s,0,NULL,NULL,2.36,0,20.3,0,0,0,0,NULL,NULL,NULL,46.5,28.3,0,0.83,85,4,1,1,Central and Eastern Europe
Czechia,Paroubek,0,0,0,5.08,4.47,6.48,2005,2006,2000s,0,NULL,NULL,2.36,0,24.26,0,0,0,0,NULL,NULL,NULL,78,27.6,0,0.83,85,4,1,1,Central and Eastern Europe
Czechia,Topolanek II,0,0,1,4.09,7.53,3.46,2007,2008,2000s,0,NULL,NULL,6.29,0,27.96,0,0,0,0,NULL,NULL,NULL,103.5,27.7,0,0.84,84,4,1,0,Central and Eastern Europe
Czechia,Fischer,0,0,1,7.38,8.45,6.98,2009,2010,2000s,0,NULL,NULL,6.29,0,27.56,1,0,0,0,11,NULL,NULL,84,35.25,0,0.82,82,4,1,1,Central and Eastern Europe
Czechia,Necas I,0,0,0,5.65,7.82,4.35,2011,2011,2010s,0,NULL,NULL,2.44,0,29.03,0,0,0,0,9,NULL,NULL,128,39.7,0,0.82,80,4,1,0,Central and Eastern Europe
Czechia,Necas II,0,0,0,5.78,8.02,4.56,2012,2013,2010s,1,NULL,NULL,2.44,0,30.04,0,0,0,0,8,NULL,NULL,123.5,44,0,0.81,78,2,1,1,Central and Eastern Europe
Czechia,Sabotka,0,0,0,4.84,4.62,5.75,2014,2017,2010s,0,NULL,NULL,3.19,1,35.36,0,0,0,0,6,16,NULL,67.25,38.1,0,0.77,79,1,1,0,Central and Eastern Europe
Czechia,Babis I,0,0,0,5.73,4.5,4.48,2018,2018,2010s,0,NULL,NULL,1.46,1,40.98,0,0,0,0,2,12,NULL,73,32.1,0,0.72,78,2,1,1,Central and Eastern Europe
Czechia,Babis II,0,0,0,5.94,3.75,4.36,2019,2021,2010s,NA,NULL,NULL,1.46,1,42.94,0,0,0,0,1,11,NULL,60,36.57,0,0.72,76,2,1,1,Central and Eastern Europe
Lithuania,Vagnorius,0,0,0,5.82,6.63,6.66,1997,1999,1990s,1,NULL,NULL,0,0,8.77,0,0,0,0,NULL,NULL,NULL,26.33333333,18.2,0,0.77,65,,,1,Northern Europe
Lithuania,Kubilius I,0,0,0,6.02,6.76,6.74,2000,2000,2000s,0,NULL,NULL,0,0,9.7,0,0,0,0,NULL,NULL,NULL,43,23.5,0,0.76,68,9,1,0,Northern Europe
Lithuania,Paksas II,0,0,0,3.7,6.38,6.58,2001,2001,2000s,0,NULL,NULL,0,0,10.65,0,0,0,0,NULL,NULL,NULL,36,22.9,0,0.77,64,6,1,1,Northern Europe
Lithuania,Brazauskas I,0,0,0,6.13,3.82,6.26,2002,2004,2000s,0,NULL,NULL,0,0,13.17,0,0,0,0,NULL,NULL,NULL,43,20.43,0,0.77,58,5,1,0,Northern Europe
Lithuania,Brazauskas II,0,0,0,5.59,4.38,6.47,2005,2006,2000s,0,NULL,NULL,0,0,17.56,0,0,0,0,NULL,NULL,NULL,78,17.55,0,0.77,70,3,1,1,Northern Europe
Lithuania,Kubilius II,0,0,0,6.06,6.12,6.36,2009,2012,2000s,1,NULL,NULL,0,0,21.98,0,0,0,0,11,NULL,NULL,105.5,35.25,0,0.79,87,7,1,1,Northern Europe
Lithuania,Butkevicius I,0,0,0,5.72,3.93,5.48,2013,2014,2010s,0,NULL,NULL,0,0,27.45,0,0,0,0,7,NULL,NULL,114.5,39.6,0,0.78,92,3,1,0,Northern Europe
Lithuania,Butkevicius II,0,0,0,5.47,3.98,5.55,2015,2016,2010s,0,NULL,NULL,0,1,29.88,0,0,0,0,5,15,NULL,52,41.1,0,0.78,90,1,1,0,Northern Europe
Luxembourg,Juncker IV,0,0,0,4.33,4.5,6.78,2010,2013,2010s,0,NULL,NULL,11.7,0,97.53,0,0,0,0,10,NULL,NULL,117.25,20.2,1,0.8,97,2,0,0,Western Europe
Luxembourg,Bettel I,0,0,1,0.7,5.62,6.33,2014,2018,2010s,0,NULL,NULL,10.1,1,113.09,0,0,0,0,6,16,NULL,68.4,21.06,1,0.8,94,1,1,0,Western Europe
Luxembourg,Bettel II,21.62,1,1,3.71,4.73,6.35,2019,2023,2010s,NA,1,1,14.1,1,131.78,0,19.2418,0,0,1,11,NULL,68.8,24.18,1,0.8,90,1,0,1,Western Europe
Norway,Solberg I,2.91,0,0,5.86,7.07,4.92,2014,2017,2010s,0,0,0,2.8,1,62.26,0,2.5899,0,0,NULL,NULL,32.87671233,67.25,34.05,1,0.86,30,2,0,0,Northern Europe
Norway,Solberg II,3.69,0,0,5.51,7.43,5.14,2018,2018,2010s,0,0,0,3.2,1,64.96,0,3.2841,0,0,NULL,NULL,26.80412371,73,38.9,1,0.85,30,2,0,0,Northern Europe
Norway,Solberg III,3.52,0,0,5.72,7.21,4.97,2019,2019,2010s,0,0,0,3.2,1,66.45,0,3.1328,0,0,NULL,NULL,-4.60704607,65,39.9,1,0.85,32,1,0,0,Northern Europe
Norway,Solberg IV,3.51,0,0,5.24,6.91,5.79,2020,2021,2020s,0,0,0,3.2,1,68.75,0,3.1239,0,0,NULL,NULL,-0.2840909091,57.5,43.85,1,0.86,28,1,0,1,Northern Europe
